DATE,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,14Y,16Y,18Y,20Y,22Y,24Y,26Y,28Y,30Y
2004-09-06,2.034172,2.121920,2.298838,2.641262,2.951578,3.223235,3.457222,3.657429,3.828505,3.974939,4.100712,4.209220,4.385283,4.520365,4.626156,4.710629,4.779293,4.836016,4.883558,4.923925,4.958596,4.988680
2004-09-07,2.040893,2.138822,2.328891,2.679766,2.987293,3.252486,3.479518,3.673463,3.839294,3.981472,4.103839,4.209626,4.381744,4.514199,4.618160,4.701299,4.768947,4.824870,4.871763,4.911590,4.945804,4.975495
2004-09-08,2.044384,2.148064,2.346666,2.706542,3.016998,3.282196,3.507894,3.699959,3.863753,4.003922,4.124390,4.228419,4.397466,4.527387,4.629261,4.710671,4.776881,4.831593,4.877459,4.916408,4.949863,4.978894
2004-09-09,2.037111,2.128935,2.308988,2.646224,2.945649,3.206136,3.430628,3.623456,3.789113,3.931745,4.054972,4.161872,4.336578,4.471709,4.578192,4.663603,4.733254,4.790922,4.839332,4.880479,4.915844,4.946545
2004-09-10,2.034645,2.111976,2.271566,2.589654,2.884699,3.146724,3.374729,3.571385,3.740559,3.886214,4.011975,4.120981,4.298915,4.436361,4.544571,4.631319,4.702037,4.760578,4.809716,4.851478,4.887372,4.918530
2004-09-13,2.041363,2.131144,2.307186,2.637373,2.931473,3.188252,3.410319,3.601663,3.766501,3.908766,4.031930,4.138965,4.314269,4.450175,4.557452,4.643609,4.713933,4.772197,4.821130,4.862735,4.898502,4.929555
2004-09-14,2.037903,2.124443,2.295860,2.621714,2.915005,3.172511,3.395882,3.588663,3.754878,3.898390,4.022654,4.130650,4.307518,4.444623,4.552838,4.639742,4.710675,4.769442,4.818797,4.860760,4.896835,4.928157
2004-09-15,2.040883,2.126959,2.297686,2.622748,2.915615,3.172807,3.395869,3.588313,3.754161,3.897285,4.021150,4.128747,4.304851,4.441264,4.548871,4.635251,4.705733,4.764114,4.813138,4.854815,4.890641,4.921745
2004-09-16,2.047758,2.135471,2.308354,2.634832,2.927106,3.182890,3.404290,3.595069,3.759353,3.901049,4.023628,4.130073,4.304221,4.439058,4.545384,4.630711,4.700320,4.757968,4.806371,4.847517,4.882884,4.913589
2004-09-17,2.050293,2.126023,2.281755,2.591642,2.879662,3.136353,3.360508,3.554437,3.721681,3.865957,3.990714,4.098976,4.275904,4.412719,4.520505,4.606951,4.677443,4.735808,4.784805,4.826451,4.862247,4.893322
2004-09-20,2.046296,2.123791,2.281191,2.590151,2.875060,3.128403,3.349658,3.541295,3.706810,3.849820,3.973666,4.081284,4.257455,4.393932,4.501593,4.588020,4.658545,4.716964,4.766021,4.807728,4.843582,4.874710
